manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
KORG,micro KORG,Pitch,Portamento,,5,,0,127,,,,,0-based,,
KORG,micro KORG,OSC 1,Wave,,77,,0,127,,,,,0-based,,0-15: Saw; 16-31: Square; 32-47: Tri; 48-63: Sin; 64-79: Vox wave; 80-95: DWGS; 96-111: Noise; 112-127: Audio in
KORG,micro KORG,OSC 1,Control 1,,14,,0,127,,,,,0-based,,
KORG,micro KORG,OSC 1,Control 2,,15,,0,127,,,,,0-based,,
KORG,micro KORG,OSC 2,Wave,,78,,0,127,,,,,0-based,,0-42: Saw; 43-85: Square; 86-127: Tri
KORG,micro KORG,OSC 2,OSC mod,,82,,0,127,,,,,0-based,,0-31: Off; 32-63: Ring; 64-95: Sync; 96-127: Ring sync
KORG,micro KORG,OSC 2,Semitone,,18,,0,127,,,,,0-based,,
KORG,micro KORG,OSC 2,Tune,,19,,0,127,,,,,Centered,,
KORG,micro KORG,Audio in,Vocoder HPF level,,18,,0,127,,,,,0-based,,
KORG,micro KORG,Audio in,Vocoder threshold,,19,,0,127,,,,,0-based,,
KORG,micro KORG,Mixer,OSC 1 level,,20,,0,127,,,,,0-based,,
KORG,micro KORG,Mixer,OSC 2 level,,21,,0,127,,,,,0-based,,
KORG,micro KORG,Mixer,Vocoder inst level,,21,,0,127,,,,,0-based,,
KORG,micro KORG,Mixer,Noise level,,22,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Filter type,,83,,0,127,,,,,0-based,,0-31: -24LPF; 32-63: -12LPF; 64-95: -12BPF; 96-127: -12HPF
KORG,micro KORG,Filter,Vocoder formant shift,,83,,0,127,,,,,0-based,,0-25: 0; 26-51: +1; 52-76: +2; 77-102: -1; 103-127: -2
KORG,micro KORG,Filter,Filter cutoff,,74,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Vocoder filter cutoff,,74,,0,127,,,,,Centered,,
KORG,micro KORG,Filter,Filter resonance,,71,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Filter EG intensity,,79,,0,127,,,,,Centered,,
KORG,micro KORG,Filter,Vocoder mod intensity,,79,,0,127,,,,,Centered,,
KORG,micro KORG,Filter EG,Filter EG attack,,23,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Filter EG decay,,24,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Filter EG sustain,,25,,0,127,,,,,0-based,,
KORG,micro KORG,Filter,Filter EG release,,26,,0,127,,,,,0-based,,
KORG,micro KORG,Amp,Amp level,,7,,0,127,,,,,0-based,,
KORG,micro KORG,Amp,Panpot,,10,,0,127,,,,,Centered,,
KORG,micro KORG,Amp,Vocoder direct level,,10,,0,127,,,,,0-based,,
KORG,micro KORG,Amp,Distortion,,92,,0,127,,,,,0-based,,0-63: Off; 64-127: On
KORG,micro KORG,Amp EG,Amp EG attack,,73,,0,127,,,,,0-based,,
KORG,micro KORG,Amp EG,Amp EG decay,,75,,0,127,,,,,0-based,,
KORG,micro KORG,Amp EG,Amp EG sustain,,70,,0,127,,,,,0-based,,
KORG,micro KORG,Amp EG,Amp EG release,,72,,0,127,,,,,0-based,,
KORG,micro KORG,LFO 1,LFO 1 wave,,87,,0,127,,,,,0-based,,0-31: Saw; 32-63: Square; 64-95: Tri; 96-127: S/H
KORG,micro KORG,LFO 1,LFO 1 frequency,,27,,0,127,,,,,0-based,,
KORG,micro KORG,LFO 2,LFO 2 wave,,88,,0,127,,,,,0-based,,0-31: Saw; 32-63: Square; 64-95: Tri; 96-127: S/H
KORG,micro KORG,LFO 2,LFO 2 frequency,,76,,0,127,,,,,0-based,,
KORG,micro KORG,Patch intensity,Patch 1 intensity,,28,,0,127,,,,,Centered,,
KORG,micro KORG,Patch intensity,Patch 2 intensity,,29,,0,127,,,,,Centered,,
KORG,micro KORG,Patch intensity,Patch 3 intensity,,30,,0,127,,,,,Centered,,
KORG,micro KORG,Patch intensity,Patch 4 intensity,,31,,0,127,,,,,Centered,,
KORG,micro KORG,Mod FX,Mod FX LFO speed,,12,,0,127,,,,,0-based,,
KORG,micro KORG,Mod FX,Mod FX depth,,93,,0,127,,,,,0-based,,
KORG,micro KORG,Delay,Delay time,,13,,0,127,,,,,0-based,,
KORG,micro KORG,Delay,Delay depth,,94,,0,127,,,,,0-based,,
KORG,micro KORG,MIDI ,Timbre select,,95,,0,127,,,,,0-based,,
KORG,micro KORG,MIDI ,Sync control,,90,,0,127,,,,,0-based,,0-63: Off; 64-127: On
